BEGIN GB-B5 The Host of Hosts
PASS GB-B5 final witness selects a real authored route body=(3.00, 0.76) velocity=(0.00, 0.00) feet=0.008333325 hp=6
PASS GB-B5 walk 8 body=(7.79, 0.76) velocity=(1.63, 0.00) feet=0.008333325 hp=6
PASS GB-B5 walk 12 body=(11.80, 0.76) velocity=(1.57, 0.00) feet=0.008333325 hp=6
PASS GB-B5 walk 23 body=(22.80, 0.76) velocity=(1.55, 0.00) feet=0.008333325 hp=6
PASS GB-B5 two delayed bodies release the first arch body=(22.80, 0.76) velocity=(1.55, 0.00) feet=0.008333325 hp=6
PASS GB-B5 first act tenant follows the player's actual route body=(22.80, 0.76) velocity=(1.55, 0.00) feet=0.008333325 hp=6
PASS GB-B5 walk 38 body=(37.80, 0.76) velocity=(1.52, 0.00) feet=0.008333325 hp=6
PASS GB-B5 the opponent steals the chosen tenant without relocating the player body=(37.80, 0.76) velocity=(1.52, 0.00) feet=0.008333325 hp=6
PASS GB-B5 theft removes and embargoes exactly the chosen tenant body=(37.81, 0.76) velocity=(0.44, 0.00) feet=0.008333325 hp=6
PASS GB-B5 theft does not refill player health body=(37.81, 0.76) velocity=(0.44, 0.00) feet=0.008333325 hp=6
PASS GB-B5 walk 8 body=(8.22, 0.76) velocity=(-1.67, 0.00) feet=0.008333325 hp=6
PASS GB-B5 real contact cannot reacquire the stolen tenant body=(8.21, 0.76) velocity=(0.00, 0.00) feet=0.008333325 hp=6
PASS GB-B5 walk 38 body=(37.80, 0.76) velocity=(1.53, 0.00) feet=0.008333325 hp=6
PASS GB-B5 walk 60 body=(59.79, 0.76) velocity=(1.64, 0.00) feet=0.008333325 hp=6
PASS GB-B5 a different tenant is acquired from the vault body=(59.79, 0.76) velocity=(1.64, 0.00) feet=0.008333325 hp=6
PASS GB-B5 walk 65.8 body=(65.60, 0.76) velocity=(1.51, 0.00) feet=0.008333325 hp=6
PASS GB-B5 swallow the actual vault wall body=(65.66, 0.76) velocity=(1.18, 0.00) feet=0.008333325 hp=6
PASS GB-B5 walk 70.5 body=(70.28, -5.17) velocity=(1.95, -1.00) feet=-5.923334 hp=6
PASS GB-B5 fall into the opened vault body=(70.28, -5.17) velocity=(1.95, -1.00) feet=-5.923334 hp=6
PASS GB-B5 jump to 73 / -4 body=(72.71, -3.24) velocity=(0.88, 0.00) feet=-3.991667 hp=6
PASS GB-B5 walk 74.15 body=(73.93, -3.24) velocity=(1.65, 0.00) feet=-3.991667 hp=6
PASS GB-B5 the same removed wall becomes a bridge in the pit body=(74.00, -3.24) velocity=(1.32, 0.00) feet=-3.991667 hp=6
PASS GB-B5 jump to 77 / -2 body=(76.70, -1.25) velocity=(0.92, 0.00) feet=-1.995141 hp=6
PASS GB-B5 walk 77.7 body=(77.48, -1.25) velocity=(1.65, 0.00) feet=-1.995005 hp=6
PASS GB-B5 jump to 80.5 / 0 body=(80.21, 0.75) velocity=(0.90, 0.00) feet=0.004765272 hp=6
PASS GB-B5 walk 88 body=(87.80, 0.75) velocity=(1.52, 0.00) feet=0.004999876 hp=6
PASS GB-B5 new physical solution earns the final act body=(87.80, 0.75) velocity=(1.52, 0.00) feet=0.004999876 hp=6
PASS GB-B5 stolen rule was actually used against the Host body=(87.80, 0.75) velocity=(1.52, 0.00) feet=0.004999876 hp=6
PASS GB-B5 walk 104 body=(103.80, 0.75) velocity=(1.54, 0.00) feet=0.004999876 hp=6
PASS GB-B5 the gallery threshold clears the temporary adaptation body=(103.81, 0.75) velocity=(0.00, 0.00) feet=0.004999876 hp=6
FAIL GB-B5 walk 223 body=(110.05, 0.75) velocity=(7.00, 7.00) feet=0.004999876 hp=0
FAIL GB-B5 the seamstress shares a real rigid body body=(110.05, 0.75) velocity=(7.00, 7.00) feet=0.004999876 hp=0
