BEGIN GB-B5 The Host of Hosts
PASS GB-B5 final witness selects a real authored route body=(3.00, 0.76) velocity=(0.00, 0.00) feet=0.008333325 hp=6
PASS GB-B5 jump to 5 / 2 body=(4.70, 2.75) velocity=(0.93, 0.00) feet=2.003951 hp=6
PASS GB-B5 jump to 8 / 4 body=(7.71, 4.75) velocity=(0.91, 0.00) feet=4.004992 hp=6
PASS GB-B5 jump to 5 / 6 body=(5.29, 6.76) velocity=(-0.91, 0.00) feet=6.009729 hp=6
PASS GB-B5 jump to 8 / 8 body=(7.71, 8.75) velocity=(0.90, 0.00) feet=8.004935 hp=6
PASS GB-B5 perspective source is available body=(7.71, 8.75) velocity=(0.90, 0.00) feet=8.004935 hp=6
PASS GB-B5 align the projected body to 0 body=(7.72, 8.75) velocity=(0.50, -0.57) feet=8.257991 hp=6
PASS GB-B5 walk 31 body=(30.78, 8.50) velocity=(1.23, 0.00) feet=8.008678 hp=5
PASS GB-B5 far bridge is actual plane-specific support body=(30.78, 8.50) velocity=(1.23, 0.00) feet=8.008678 hp=5
PASS GB-B5 first act tenant follows the player's actual route body=(30.78, 8.50) velocity=(1.23, 0.00) feet=8.008678 hp=5
PASS GB-B5 walk 38 body=(37.80, 1.66) velocity=(2.30, -21.40) feet=0.9112315 hp=5
PASS GB-B5 the opponent steals the chosen tenant without relocating the player body=(37.80, 1.66) velocity=(2.30, -21.40) feet=0.9112315 hp=5
PASS GB-B5 theft removes and embargoes exactly the chosen tenant body=(37.80, 1.66) velocity=(2.30, -21.40) feet=0.9112315 hp=5
PASS GB-B5 theft does not refill player health body=(37.80, 1.66) velocity=(2.30, -21.40) feet=0.9112315 hp=5
PASS GB-B5 walk 60 body=(59.78, 0.75) velocity=(1.66, 0.00) feet=0.004999876 hp=6
PASS GB-B5 a different tenant is acquired from the vault body=(59.78, 0.75) velocity=(1.66, 0.00) feet=0.004999876 hp=6
PASS GB-B5 walk 65.8 body=(65.60, 0.75) velocity=(1.51, 0.00) feet=0.004999876 hp=6
PASS GB-B5 swallow the actual vault wall body=(65.66, 0.75) velocity=(1.18, 0.00) feet=0.004999876 hp=6
PASS GB-B5 walk 70.5 body=(70.28, -5.17) velocity=(1.95, -1.00) feet=-5.919489 hp=6
PASS GB-B5 fall into the opened vault body=(70.28, -5.17) velocity=(1.95, -1.00) feet=-5.919489 hp=6
PASS GB-B5 jump to 73 / -4 body=(72.71, -3.25) velocity=(0.88, 0.00) feet=-3.995005 hp=6
PASS GB-B5 walk 74.15 body=(73.93, -3.25) velocity=(1.65, 0.00) feet=-3.995 hp=6
PASS GB-B5 the same removed wall becomes a bridge in the pit body=(74.00, -3.25) velocity=(1.32, 0.00) feet=-3.995 hp=6
PASS GB-B5 jump to 77 / -2 body=(76.70, -1.25) velocity=(0.92, 0.00) feet=-1.995235 hp=6
PASS GB-B5 walk 77.7 body=(77.48, -1.25) velocity=(1.65, 0.00) feet=-1.995008 hp=6
PASS GB-B5 jump to 80.5 / 0 body=(80.21, 0.75) velocity=(0.90, 0.00) feet=0.004765213 hp=6
PASS GB-B5 walk 88 body=(87.80, 0.75) velocity=(1.52, 0.00) feet=0.004999876 hp=6
PASS GB-B5 new physical solution earns the final act body=(87.80, 0.75) velocity=(1.52, 0.00) feet=0.004999876 hp=6
PASS GB-B5 stolen rule was actually used against the Host body=(87.80, 0.75) velocity=(1.52, 0.00) feet=0.004999876 hp=6
PASS GB-B5 walk 104 body=(103.80, 0.75) velocity=(1.54, 0.00) feet=0.004999876 hp=6
PASS GB-B5 the gallery threshold clears the temporary adaptation body=(103.81, 0.75) velocity=(0.00, 0.00) feet=0.004999876 hp=6
FAIL GB-B5 walk 185 body=(110.06, 0.76) velocity=(0.00, 0.00) feet=0.005234122 hp=4
FAIL GB-B5 the structural morsel is approached with a real Gullet body=(110.06, 0.76) velocity=(0.00, 0.00) feet=0.005234122 hp=4
