BEGIN GB-B5 The Host of Hosts
PASS GB-B5 final witness selects a real authored route body=(3.00, 0.76) velocity=(0.00, 0.00) feet=0.008333325 hp=6
PASS GB-B5 jump to 5 / 2 body=(4.70, 2.75) velocity=(0.93, 0.00) feet=2.003951 hp=6
PASS GB-B5 jump to 8 / 4 body=(7.71, 4.75) velocity=(0.91, 0.00) feet=4.004992 hp=6
PASS GB-B5 votive angel supplies conserved wax body=(7.71, 4.75) velocity=(0.91, 0.00) feet=4.004992 hp=6
PASS GB-B5 walk 21 body=(20.80, 4.67) velocity=(1.54, 0.00) feet=4.004999 hp=6
PASS GB-B5 actual reduced living mass releases the upper arch body=(20.81, 4.67) velocity=(0.00, 0.00) feet=4.004999 hp=6
PASS GB-B5 first act tenant follows the player's actual route body=(20.81, 4.67) velocity=(0.00, 0.00) feet=4.004999 hp=6
PASS GB-B5 walk 38 body=(37.80, 0.75) velocity=(1.54, 0.00) feet=0.004998386 hp=6
PASS GB-B5 the opponent steals the chosen tenant without relocating the player body=(37.80, 0.75) velocity=(1.54, 0.00) feet=0.004998386 hp=6
PASS GB-B5 theft removes and embargoes exactly the chosen tenant body=(37.80, 0.75) velocity=(1.54, 0.00) feet=0.004998386 hp=6
PASS GB-B5 theft does not refill player health body=(37.80, 0.75) velocity=(1.54, 0.00) feet=0.004998386 hp=6
PASS GB-B5 walk 60 body=(59.79, 0.75) velocity=(1.64, 0.00) feet=0.004999876 hp=6
PASS GB-B5 a different tenant is acquired from the vault body=(59.79, 0.75) velocity=(1.64, 0.00) feet=0.004999876 hp=6
PASS GB-B5 walk 65.8 body=(65.58, 0.76) velocity=(1.65, 0.00) feet=0.006051064 hp=5
PASS GB-B5 swallow the actual vault wall body=(65.65, 0.76) velocity=(1.32, 0.00) feet=0.006051064 hp=5
PASS GB-B5 walk 70.5 body=(70.29, -3.26) velocity=(1.61, -0.03) feet=-4.013288 hp=5
PASS GB-B5 fall into the opened vault body=(70.30, -5.23) velocity=(0.00, -1.00) feet=-5.980031 hp=5
PASS GB-B5 jump to 73 / -4 body=(72.71, -3.25) velocity=(0.90, 0.00) feet=-3.995 hp=5
PASS GB-B5 walk 74.15 body=(73.94, -3.25) velocity=(1.64, 0.00) feet=-3.995 hp=5
FAIL GB-B5 the same removed wall becomes a bridge in the pit body=(74.00, -3.25) velocity=(1.31, 0.00) feet=-3.995 hp=5
