theme,returned,frames,peak,rms,sha256
0,0,529920,0.2398707,0.0681369589175835,d3cb577d7da56a80aba9e844f6f9355d5a90142964e7094611d9fccf66f5cf59
0,1,466329,0.2555016,0.0696411681030328,70a33b2d000820ee5a92dddab8500bad93f0cf1918062908ca6b70b0047ce916
1,0,714240,0.2805895,0.0738443167564365,25578747f09f08bf71a22c00aa58937f0bc6af2190315e77827d642c4a315252
1,1,628531,0.2911874,0.0789989914121672,e032e1ca87bae41134f42c3f43c610863108a6b1438a260e72af621ded23f495
2,0,595200,0.245203,0.0757275541792435,d19c66f974ed19c3a3eaf178661c8e3034fde826330fb3bc8d0d66aa1355b4e0
2,1,523775,0.291116,0.0808294688233322,e3e6f1736f198e1741bf5782d8921fe257b235247afd9194dd7a7975c95e4c11
3,0,833280,0.2817896,0.0741355477768294,635a8e4830d7d33fbcced3e2d3483d3dfa5a700b574f905a052fda8d8fd5600d
3,1,733286,0.2861929,0.0796428320518352,af316004d043a843840eed82bb7df995e67edc49d4d7cc55d8b9c92f71bfb354
4,0,430080,0.2419064,0.077568232838185,4c238386c033c25551f5b325edc5776100cf3f766621175dd0cedda09a31e89d
4,1,378470,0.2683675,0.0838798031850854,a4c91f7737c5f3aee6cb39002d6bdaa214d8e6351fe9ee3410cd6081693dbd93
5,0,806399,0.2280938,0.0678659626279589,10f4969741bf9f09e261700d8e940b294f3d0b61e881d7f7440a7bbd7c387fb2
5,1,709631,0.2533114,0.0685020477298366,0aa761a7cf35ff5b277531be15dc5c3884c4524e8c6e21ec4476222dc6c7fc24
6,0,714240,0.2295868,0.0675796266775053,1cb83dcf50128ebee744f13239a88382917b597f0db167929f865fd322c0e4ce
6,1,628531,0.2378629,0.0693187850677019,3e0a6ce641065860fb2437deb998f537be805e8d709f003e84184f1aedea4c4c
7,0,714240,0.2805895,0.0738643062892734,9fa4b0b0d42fe9792bcc8eff1bb6ac71f2ae75a7125818cae1d88d5037db2fb8
7,1,628531,0.2811293,0.0789948347425652,0e297247be748ab8c322d67369ba189ce452981c4a3be4617dd01e25f502484a
