BEGIN GB-L20 The White Gate Is Below You
PASS GB-L20 walk 5 body=(4.78, 0.76) velocity=(1.67, 0.00) feet=0.008333325 hp=6
PASS GB-L20 follow the leading body to 12 body=(11.79, 0.76) velocity=(0.00, 0.00) feet=0.008333325 hp=6
PASS GB-L20 sanctum starts with a leading Echo, not a prediction body=(11.79, 0.76) velocity=(0.00, 0.00) feet=0.008333325 hp=6
PASS GB-L20 Molt is acquired physically beside the leading echo body=(11.79, 0.76) velocity=(0.00, 0.00) feet=0.008333325 hp=6
PASS GB-L20 follow the leading body to 18 body=(17.78, 0.76) velocity=(0.00, 0.00) feet=0.008333325 hp=6
PASS GB-L20 the chosen leading pair contains Molt body=(17.78, 0.76) velocity=(0.00, 0.00) feet=0.008333325 hp=6
PASS GB-L20 delayed body focuses Molt body=(17.78, 0.76) velocity=(0.00, 0.00) feet=0.008333325 hp=6
PASS GB-L20 leave an actual skin on the first sanctum scale body=(17.78, 0.56) velocity=(0.00, 0.00) feet=0.008333325 hp=6
PASS GB-L20 follow the leading body to 28 body=(27.66, 0.56) velocity=(0.00, 0.00) feet=0.008333325 hp=6
PASS GB-L20 two simultaneous bodies release the first sanctum body=(27.66, 0.56) velocity=(0.00, 0.00) feet=0.008333325 hp=6
PASS GB-L20 follow the leading body to 36 body=(35.66, 0.56) velocity=(0.00, 0.00) feet=0.008333325 hp=6
PASS GB-L20 first sanctum is traversed without granting its result body=(35.66, 0.56) velocity=(0.00, 0.00) feet=0.008333325 hp=6
FAIL GB-L20 follow the leading body to 40 body=(36.65, 0.75) velocity=(0.00, 0.00) feet=0.004999876 hp=6
FAIL GB-L20 root is available after the material sanctuary sources body=(36.65, 0.75) velocity=(0.00, 0.00) feet=0.004999876 hp=6
FAIL GB-L20 seasonal wall was traversed through actual material body=(36.65, 0.75) velocity=(0.00, 0.00) feet=0.004999876 hp=6
FAIL GB-L20 remaining White Gate spatial sanctums require further authored input proof body=(36.65, 0.75) velocity=(0.00, 0.00) feet=0.004999876 hp=6
