BEGIN GB-L05 Pear Tree Gallows
PASS GB-L05 walk 8 | (7.81, 0.76) feet=0.01 hp=6
PASS GB-L05 Wax source acquired | (7.81, 0.76) feet=0.01 hp=6
PASS GB-L05 melt through changed body footprint | (7.86, 0.17) feet=0.01 hp=6
PASS GB-L05 walk 19 | (19.22, 0.17) feet=0.01 hp=6
PASS GB-L05 walk 23.35 | (23.17, -1.84) feet=-2.00 hp=6
PASS GB-L05 conserved plug seals actual drain | (23.28, -1.84) feet=-2.00 hp=6
PASS GB-L05 flow costs body volume | (23.28, -1.84) feet=-2.00 hp=6
PASS GB-L05 walk 26 | (25.78, 4.19) feet=4.03 hp=6
PASS GB-L05 diverted wax physically rises | (25.78, 4.19) feet=4.03 hp=6
PASS GB-L05 walk 30 | (29.78, 3.46) feet=3.30 hp=6
PASS GB-L05 Wax source acquired | (29.78, 3.46) feet=3.30 hp=6
PASS GB-L05 reform with conserved volume | (29.78, 3.97) feet=3.30 hp=6
PASS GB-L05 land in pear cage | (29.78, 3.97) feet=3.30 hp=6
PASS GB-L05 walk 46.5 | (46.31, 3.70) feet=3.04 hp=6
PASS GB-L05 jump onto dynamic support 53 | (52.76, 4.05) feet=3.39 hp=6
PASS GB-L05 walk 63 | (62.79, 3.71) feet=3.05 hp=6
PASS GB-L05 jump onto dynamic support 70 | (69.75, 4.05) feet=3.39 hp=6
PASS GB-L05 walk 80 | (79.79, 3.71) feet=3.05 hp=6
PASS GB-L05 jump onto dynamic support 87 | (86.76, 3.87) feet=3.21 hp=6
PASS GB-L05 walk 93 | (92.79, 3.87) feet=3.21 hp=6
PASS GB-L05 physical pear key | (92.79, 3.87) feet=3.21 hp=6
PASS GB-L05 walk 96.6 | (96.40, 3.87) feet=3.21 hp=6
PASS GB-L05 ripening Turn | (96.41, 3.87) feet=3.21 hp=6
PASS GB-L05 walk 66 | (66.20, 0.84) feet=0.18 hp=6
PASS GB-L05 drop between boughs to the maintenance return | (66.15, 0.67) feet=0.00 hp=6
PASS GB-L05 Wax source acquired | (66.15, 0.67) feet=0.00 hp=6
PASS GB-L05 melt through changed body footprint | (66.12, 0.16) feet=0.00 hp=6
EVENT t=35.88 fruit-burst Ripening pear counterweight
EVENT t=35.88 fruit-burst Ripening pear counterweight
EVENT t=35.88 fruit-burst Ripening pear counterweight
PASS GB-L05 walk 30 | (30.03, 0.17) feet=0.01 hp=6
PASS GB-L05 liquid return passes beneath the sagging bough | (30.03, 0.17) feet=0.01 hp=6
PASS GB-L05 Wax source acquired | (30.03, 0.17) feet=0.01 hp=6
PASS GB-L05 reform with conserved volume | (30.03, 0.67) feet=0.01 hp=6
PASS GB-L05 walk 20 | (20.21, 0.67) feet=0.01 hp=6
PASS GB-L05 Wax source acquired | (17.39, 0.67) feet=0.01 hp=6
PASS GB-L05 melt through changed body footprint | (17.39, 0.17) feet=0.01 hp=6
PASS GB-L05 walk 5 | (4.90, 0.17) feet=-0.58 hp=6
PASS GB-L05 walk 2 | (3.19, 0.75) feet=0.00 hp=6
PASS GB-L05 complete actual stage | (3.19, 0.75) feet=0.00 hp=6
PASS GB-L05 clear persists | (3.19, 0.75) feet=0.00 hp=6
PASS GB-L05 Mercy remains optional | (3.19, 0.75) feet=0.00 hp=6
