BEGIN GB-L04 House of Borrowed Skins
PASS GB-L04 walk 13 | (12.79, 0.76) feet=0.01 hp=6
PASS GB-L04 wardrobe moth contact | (12.79, 0.76) feet=0.01 hp=6
PASS GB-L04 first persistent skin | (12.81, 0.56) feet=0.01 hp=6
PASS GB-L04 walk 20.3 | (20.10, 0.56) feet=0.01 hp=6
PASS GB-L04 jump 23 / 1.6 peak 2.21 | (22.78, 2.15) feet=1.60 hp=6
PASS GB-L04 jump 27 / 2 peak 3.97 | (26.79, 2.55) feet=2.01 hp=6
PASS GB-L04 walk 30 | (29.78, 2.55) feet=2.01 hp=6
PASS GB-L04 walk 41 | (40.79, 2.30) feet=2.01 hp=6
PASS GB-L04 walk 52 | (51.82, 2.56) feet=2.01 hp=6
PASS GB-L04 spider at peeled bridge | (51.82, 2.56) feet=2.01 hp=6
PASS GB-L04 bridge shears preserve the molt | (63.47, 2.80) feet=2.25 hp=6
PASS GB-L04 walk 81 | (80.79, 2.55) feet=2.01 hp=6
PASS GB-L04 jump 84 / 4 peak 4.37 | (83.79, 4.55) feet=4.00 hp=6
PASS GB-L04 walk 85.6 | (85.39, 4.55) feet=4.00 hp=6
PASS GB-L04 jump 89 / 6 peak 6.37 | (88.78, 6.55) feet=6.00 hp=6
PASS GB-L04 walk 90.6 | (90.39, 6.55) feet=6.00 hp=6
PASS GB-L04 jump 94 / 8 peak 8.37 | (93.78, 8.55) feet=8.00 hp=6
PASS GB-L04 walk 97 | (96.78, 8.56) feet=8.01 hp=6
PASS GB-L04 jump 97 / 8 peak 10.37 | (96.98, 8.55) feet=8.00 hp=6
PASS GB-L04 wardrobe key | (96.98, 8.55) feet=8.00 hp=6
PASS GB-L04 walk 101.6 | (101.38, 8.55) feet=8.00 hp=6
PASS GB-L04 discarded skins crawl home | (101.40, 8.55) feet=8.00 hp=6
PASS GB-L04 walk 83 | (83.17, 4.76) feet=4.01 hp=6
PASS GB-L04 return spider catches the host | (83.17, 4.76) feet=4.01 hp=6
PASS GB-L04 thread 78 length 3 | (79.86, 9.58) feet=8.83 hp=6
PASS GB-L04 thread 60 length 3 | (58.06, 9.81) feet=9.06 hp=6
PASS GB-L04 shore shears | (43.62, 3.07) feet=2.32 hp=6
PASS GB-L04 walk 45.5 | (45.29, 2.75) feet=2.00 hp=6
PASS GB-L04 drop below the wardrobe roof | (45.29, 2.75) feet=2.00 hp=6
PASS GB-L04 walk 30 | (30.21, 2.40) feet=2.00 hp=6
PASS GB-L04 walk 13 | (13.22, 0.40) feet=0.00 hp=6
PASS GB-L04 reclaim abandoned body before leaving | (13.22, 0.76) feet=0.00 hp=6
PASS GB-L04 walk 2 | (3.15, 0.76) feet=0.00 hp=6
PASS GB-L04 critical path returns to entrance | (3.15, 0.76) feet=0.00 hp=6
PASS GB-L04 normal clear is persisted | (3.15, 0.76) feet=0.00 hp=6
PASS GB-L04 ordinary clear needs no Mercy | (3.15, 0.76) feet=0.00 hp=6
