BEGIN GB-L04 House of Borrowed Skins
PASS GB-L04 walk 13 | (12.79, 0.76) feet=0.01 hp=6
PASS GB-L04 wardrobe moth contact | (12.79, 0.76) feet=0.01 hp=6
PASS GB-L04 first persistent skin | (12.81, 0.56) feet=0.01 hp=6
PASS GB-L04 walk 20.3 | (20.10, 0.56) feet=0.01 hp=6
PASS GB-L04 jump 23 / 1.6 peak 2.21 | (22.78, 2.15) feet=1.60 hp=6
PASS GB-L04 jump 27 / 2 peak 3.97 | (26.79, 2.55) feet=2.01 hp=6
PASS GB-L04 walk 30 | (29.78, 2.55) feet=2.01 hp=6
PASS GB-L04 walk 41 | (40.79, 2.30) feet=2.01 hp=6
PASS GB-L04 jump 43 / 3.3 peak 4.37 | (42.78, 3.85) feet=3.30 hp=6
PASS GB-L04 walk 41.8 | (42.00, 3.85) feet=3.30 hp=6
PASS GB-L04 jump 39 / 4.35 peak 5.50 | (39.21, 4.90) feet=4.35 hp=6
PASS GB-L04 walk 33 | (33.21, 4.90) feet=4.35 hp=6
PASS GB-L04 jump 30 / 5 peak 6.72 | (30.21, 5.55) feet=5.00 hp=6
PASS GB-L04 two shed skins | (30.21, 5.36) feet=5.00 hp=6
PASS GB-L04 jump 32.4 / 7 peak 7.53 | (32.19, 7.36) feet=7.00 hp=6
PASS GB-L04 walk 41 | (40.79, 7.20) feet=7.00 hp=6
PASS GB-L04 seam Mercy | (40.79, 7.20) feet=7.00 hp=6
PASS GB-L04 walk 44 | (43.81, 6.39) feet=6.03 hp=6
PASS GB-L04 walk 52 | (51.84, 2.37) feet=2.01 hp=6
PASS GB-L04 spider at peeled bridge | (51.84, 2.37) feet=2.01 hp=6
PASS GB-L04 bridge shears preserve the molt | (63.56, 2.80) feet=2.44 hp=6
PASS GB-L04 walk 81 | (80.79, 2.37) feet=2.01 hp=6
PASS GB-L04 jump 84 / 4 peak 4.37 | (83.79, 4.36) feet=4.00 hp=6
PASS GB-L04 walk 85.6 | (85.39, 4.36) feet=4.00 hp=6
PASS GB-L04 jump 89 / 6 peak 6.37 | (88.78, 6.36) feet=6.00 hp=6
PASS GB-L04 walk 90.6 | (90.39, 6.36) feet=6.00 hp=6
PASS GB-L04 jump 94 / 8 peak 8.37 | (93.78, 8.36) feet=8.00 hp=6
PASS GB-L04 walk 97 | (96.78, 8.37) feet=8.01 hp=6
PASS GB-L04 jump 97 / 8 peak 10.37 | (96.98, 8.36) feet=8.00 hp=6
PASS GB-L04 wardrobe key | (96.98, 8.36) feet=8.00 hp=6
PASS GB-L04 walk 101.6 | (101.38, 8.36) feet=8.00 hp=6
PASS GB-L04 discarded skins crawl home | (101.40, 8.36) feet=8.00 hp=6
PASS GB-L04 walk 83 | (83.17, 4.76) feet=4.01 hp=6
PASS GB-L04 return spider catches the host | (83.17, 4.76) feet=4.01 hp=6
PASS GB-L04 thread 78 length 3 | (79.80, 10.24) feet=9.49 hp=6
PASS GB-L04 thread 60 length 3 | (58.06, 9.75) feet=9.00 hp=6
PASS GB-L04 shore shears | (43.74, 4.05) feet=3.30 hp=6
PASS GB-L04 walk 45.5 | (45.28, 3.77) feet=3.02 hp=6
PASS GB-L04 drop below the wardrobe roof | (45.51, 2.75) feet=2.00 hp=6
PASS GB-L04 walk 30 | (30.21, 2.40) feet=2.00 hp=6
PASS GB-L04 walk 13 | (13.22, 0.40) feet=0.00 hp=6
PASS GB-L04 reclaim abandoned body before leaving | (13.22, 0.75) feet=0.00 hp=6
PASS GB-L04 walk 2 | (3.15, 0.75) feet=0.00 hp=6
PASS GB-L04 critical path returns to entrance | (3.15, 0.75) feet=0.00 hp=6
PASS GB-L04 normal clear is persisted | (3.15, 0.75) feet=0.00 hp=6
PASS GB-L04 Mercy persists on successful clear | (3.15, 0.75) feet=0.00 hp=6
