target=Center: (28.50, 11.80, 0.00), Extents: (1.10, 1.50, 0.00) start=(24.00, 10.00) anchor=(24.00, 16.00) distance=6 mass=2 gravity=2
physics (24.15, 10.00) velocity=(9.00, 0.00) contact=none speed=0
physics (25.04, 10.09) velocity=(8.71, 1.31) contact=none speed=0
physics (25.86, 10.30) velocity=(7.98, 2.41) contact=none speed=0
physics (26.43, 10.51) velocity=(0.00, 0.00) contact=The Usher's chandelier catch speed=7.733252
physics (26.36, 10.48) velocity=(-0.73, -0.31) contact=The Usher's chandelier catch speed=7.733252
physics (26.24, 10.43) velocity=(-1.45, -0.59) contact=The Usher's chandelier catch speed=7.733252
physics (26.05, 10.36) velocity=(-2.15, -0.80) contact=The Usher's chandelier catch speed=7.733252
physics (25.80, 10.28) velocity=(-2.80, -0.91) contact=The Usher's chandelier catch speed=7.733252
physics (25.48, 10.19) velocity=(-3.38, -0.90) contact=The Usher's chandelier catch speed=7.733252
physics (25.12, 10.10) velocity=(-3.87, -0.78) contact=The Usher's chandelier catch speed=7.733252
physics (24.71, 10.04) velocity=(-4.22, -0.55) contact=The Usher's chandelier catch speed=7.733252
physics (24.27, 10.01) velocity=(-4.42, -0.26) contact=The Usher's chandelier catch speed=7.733252
physics (23.83, 10.00) velocity=(-4.46, 0.07) contact=The Usher's chandelier catch speed=7.733252
physics (23.39, 10.03) velocity=(-4.32, 0.39) contact=The Usher's chandelier catch speed=7.733252
physics (22.97, 10.09) velocity=(-4.02, 0.65) contact=The Usher's chandelier catch speed=7.733252
physics (22.60, 10.17) velocity=(-3.58, 0.82) contact=The Usher's chandelier catch speed=7.733252
physics (22.27, 10.26) velocity=(-3.03, 0.89) contact=The Usher's chandelier catch speed=7.733252
physics (22.00, 10.34) velocity=(-2.40, 0.83) contact=The Usher's chandelier catch speed=7.733252
physics (21.80, 10.42) velocity=(-1.72, 0.67) contact=The Usher's chandelier catch speed=7.733252
physics (21.67, 10.47) velocity=(-1.01, 0.42) contact=The Usher's chandelier catch speed=7.733252
physics (21.61, 10.50) velocity=(-0.28, 0.12) contact=The Usher's chandelier catch speed=7.733252
physics (21.63, 10.49) velocity=(0.45, -0.19) contact=The Usher's chandelier catch speed=7.733252
physics (21.71, 10.45) velocity=(1.17, -0.49) contact=The Usher's chandelier catch speed=7.733252
physics (21.87, 10.39) velocity=(1.88, -0.72) contact=The Usher's chandelier catch speed=7.733252
physics (22.10, 10.31) velocity=(2.55, -0.87) contact=The Usher's chandelier catch speed=7.733252
physics (22.39, 10.22) velocity=(3.16, -0.91) contact=The Usher's chandelier catch speed=7.733252
physics (22.74, 10.13) velocity=(3.68, -0.83) contact=The Usher's chandelier catch speed=7.733252
physics (23.13, 10.06) velocity=(4.09, -0.65) contact=The Usher's chandelier catch speed=7.733252
physics (23.56, 10.02) velocity=(4.35, -0.38) contact=The Usher's chandelier catch speed=7.733252
PASS real-pendulum-catch | (3.00, 0.97)
