BEGIN GB-L01 Sunday Best
PASS GB-L01 walk 6.7 | (6.48, 0.75) feet=0.00 hp=6
PASS GB-L01 jump 9.5 / 1.6 peak 2.37 | (9.29, 2.35) feet=1.60 hp=6
PASS GB-L01 walk 11.6 | (11.41, 2.36) feet=1.61 hp=6
PASS GB-L01 jump 14.9 / 2.6 peak 3.97 | (14.69, 3.35) feet=2.60 hp=6
PASS GB-L01 walk 20.4 | (20.18, 3.08) feet=2.33 hp=6
PASS GB-L01 walk 22 | (21.80, 0.75) feet=0.00 hp=6
PASS GB-L01 jump 24.7 / 1.5 peak 2.37 | (24.49, 2.25) feet=1.50 hp=6
PASS GB-L01 walk 43 | (42.79, -3.25) feet=-4.00 hp=6
PASS GB-L01 corruption and Echo contact | (42.79, -3.25) feet=-4.00 hp=6
PASS GB-L01 walk 58.2 | (57.99, -3.25) feet=-4.00 hp=6
PASS GB-L01 jump 61 / -2.2 peak -1.44 | (60.79, -1.44) feet=-2.19 hp=6
PASS GB-L01 walk 62.5 | (62.29, -1.44) feet=-2.19 hp=6
PASS GB-L01 jump 65.6 / -0.7 peak 0.17 | (65.39, 0.05) feet=-0.70 hp=6
PASS GB-L01 walk 67.5 | (67.28, 0.05) feet=-0.70 hp=6
PASS GB-L01 jump 70.6 / 0.8 peak 1.67 | (70.39, 1.55) feet=0.80 hp=6
PASS GB-L01 walk 72.5 | (72.28, 1.56) feet=0.80 hp=6
PASS GB-L01 jump 75.6 / 2.3 peak 3.17 | (75.39, 3.05) feet=2.30 hp=6
PASS GB-L01 walk 77.5 | (77.28, 3.05) feet=2.30 hp=6
PASS GB-L01 jump 80.6 / 3.8 peak 4.67 | (80.39, 4.55) feet=3.80 hp=6
PASS GB-L01 walk 82.5 | (82.28, 4.55) feet=3.80 hp=6
PASS GB-L01 jump 85.6 / 5.3 peak 6.17 | (85.39, 6.05) feet=5.30 hp=6
PASS GB-L01 physical key | (85.39, 6.05) feet=5.30 hp=6
PASS GB-L01 walk 94.9 | (94.69, 6.05) feet=5.30 hp=6
PASS GB-L01 World Nail | (94.70, 6.05) feet=5.30 hp=6
PASS GB-L01 walk 27 | (27.20, 6.06) feet=5.31 hp=6
PASS GB-L01 walk 25 | (25.21, 6.06) feet=5.31 hp=6
PASS GB-L01 jump 22.8 / 7.4 peak 7.67 | (23.02, 8.16) feet=7.41 hp=6
PASS GB-L01 jump 18 / 7.7 peak 9.77 | (18.21, 8.45) feet=7.70 hp=6
PASS GB-L01 Mercy collected | (18.21, 8.45) feet=7.70 hp=6
PASS GB-L01 walk 2 | (3.13, 0.75) feet=0.00 hp=6
PASS GB-L01 critical path returns to entrance | (3.13, 0.75) feet=0.00 hp=6
PASS GB-L01 practice does not write stage or Mercy progress | (3.13, 0.75) feet=0.00 hp=6
