BEGIN GB-L03 The Puppet Laundry
PASS GB-L03 walk 8 | (7.94, 0.76) feet=0.01 hp=6
PASS GB-L03 spider strings Host | (7.94, 0.76) feet=0.01 hp=6
PASS GB-L03 thread 29 length 9.5 | (35.04, 2.97) feet=2.22 hp=6
PASS GB-L03 thread 43 length 9.5 | (46.06, 1.71) feet=0.96 hp=6
PASS GB-L03 thread 53 length 9.5 | (53.02, 1.99) feet=1.24 hp=6
PASS GB-L03 thread 76 length 10.5 | (78.78, 1.64) feet=0.89 hp=6
PASS GB-L03 thread 89 length 5.5 | (92.78, 8.55) feet=7.80 hp=6
PASS GB-L03 physical laundry key | (86.87, 7.33) feet=6.58 hp=6
PASS GB-L03 thread 99 length 6.4 | (98.83, 6.84) feet=6.09 hp=6
PASS GB-L03 lines cut on Turn | (98.83, 6.83) feet=6.08 hp=6
PASS GB-L03 thread 77 length 5.5 | (74.44, 6.66) feet=5.91 hp=6
PASS GB-L03 thread 62 length 10.5 | (61.91, 0.90) feet=0.15 hp=6
PASS GB-L03 thread 53 length 9.5 | (50.59, 2.68) feet=1.93 hp=6
PASS GB-L03 thread 40 length 9.5 | (40.44, 0.39) feet=-0.36 hp=6
PASS GB-L03 thread 7 length 10.5 | (11.74, 2.64) feet=1.89 hp=6
PASS GB-L03 shears release the body | (4.62, 1.24) feet=0.49 hp=6
PASS GB-L03 walk 2 | (3.14, 0.75) feet=0.00 hp=6
PASS GB-L03 critical path returns to entrance | (3.14, 0.75) feet=0.00 hp=6
PASS GB-L03 practice does not write stage or Mercy progress | (3.14, 0.75) feet=0.00 hp=6
