BEGIN GB-L03 The Puppet Laundry
PASS GB-L03 walk 8 | (7.85, 0.76) feet=0.01 hp=6
PASS GB-L03 spider strings Host | (7.85, 0.76) feet=0.01 hp=6
PASS GB-L03 thread 29 length 9.5 | (35.01, 2.95) feet=2.20 hp=6
PASS GB-L03 thread 43 length 9.5 | (46.24, 1.78) feet=1.03 hp=6
PASS GB-L03 thread 53 length 9.5 | (53.02, 1.99) feet=1.24 hp=6
PASS GB-L03 thread 76 length 10.5 | (78.97, 1.70) feet=0.95 hp=6
PASS GB-L03 thread 89 length 5.5 | (92.85, 8.62) feet=7.87 hp=6
PASS GB-L03 physical laundry key | (86.78, 7.37) feet=6.62 hp=6
PASS GB-L03 thread 99 length 6.4 | (98.84, 6.84) feet=6.09 hp=6
PASS GB-L03 lines cut on Turn | (98.84, 6.83) feet=6.08 hp=6
PASS GB-L03 thread 77 length 5.5 | (74.44, 6.65) feet=5.90 hp=6
PASS GB-L03 thread 62 length 10.5 | (61.96, 0.88) feet=0.13 hp=6
PASS GB-L03 thread 53 length 9.5 | (50.53, 2.73) feet=1.98 hp=6
PASS GB-L03 thread 40 length 9.5 | (40.44, 0.43) feet=-0.32 hp=6
PASS GB-L03 thread 7 length 10.5 | (11.81, 2.68) feet=1.93 hp=6
PASS GB-L03 shears release the body | (4.62, 1.24) feet=0.49 hp=6
PASS GB-L03 walk 2 | (3.14, 0.76) feet=0.01 hp=6
PASS GB-L03 critical path returns to entrance | (3.14, 0.76) feet=0.01 hp=6
PASS GB-L03 practice does not write stage or Mercy progress | (3.14, 0.76) feet=0.01 hp=6
