BEGIN GB-B5 The Host of Hosts
PASS GB-B5 final witness selects a real authored route body=(3.00, 0.76) velocity=(0.00, 0.00) feet=0.008333325 hp=6
PASS GB-B5 jump to 5 / 2 body=(4.70, 2.75) velocity=(0.93, 0.00) feet=2.003951 hp=6
PASS GB-B5 jump to 8 / 4 body=(7.71, 4.75) velocity=(0.91, 0.00) feet=4.004992 hp=6
PASS GB-B5 jump to 5 / 6 body=(5.29, 6.76) velocity=(-0.91, 0.00) feet=6.009729 hp=6
PASS GB-B5 jump to 8 / 8 body=(7.71, 8.75) velocity=(0.90, 0.00) feet=8.004935 hp=6
PASS GB-B5 perspective source is available body=(7.71, 8.75) velocity=(0.90, 0.00) feet=8.004935 hp=6
PASS GB-B5 align the projected body to 0 body=(7.72, 8.75) velocity=(0.50, -0.57) feet=8.257991 hp=6
PASS GB-B5 walk 31 body=(30.78, 8.50) velocity=(1.23, 0.00) feet=8.008678 hp=5
PASS GB-B5 far bridge is actual plane-specific support body=(30.78, 8.50) velocity=(1.23, 0.00) feet=8.008678 hp=5
PASS GB-B5 first act tenant follows the player's actual route body=(30.78, 8.50) velocity=(1.23, 0.00) feet=8.008678 hp=5
PASS GB-B5 walk 38 body=(37.79, 1.55) velocity=(1.91, -21.40) feet=0.7961483 hp=5
PASS GB-B5 the opponent steals the chosen tenant without relocating the player body=(37.79, 1.55) velocity=(1.91, -21.40) feet=0.7961483 hp=5
PASS GB-B5 theft removes and embargoes exactly the chosen tenant body=(37.81, 1.18) velocity=(1.51, -21.97) feet=0.430037 hp=5
PASS GB-B5 theft does not refill player health body=(37.81, 1.18) velocity=(1.51, -21.97) feet=0.430037 hp=5
PASS GB-B5 walk 60 body=(59.78, 0.75) velocity=(1.68, 0.00) feet=0.004999876 hp=6
PASS GB-B5 a different tenant is acquired from the vault body=(59.78, 0.75) velocity=(1.68, 0.00) feet=0.004999876 hp=6
PASS GB-B5 walk 65.8 body=(65.60, 0.75) velocity=(1.51, 0.00) feet=0.004999876 hp=6
PASS GB-B5 swallow the actual vault wall body=(65.66, 0.75) velocity=(1.18, 0.00) feet=0.004999876 hp=6
